,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E_Tot,N_Tot,A_Tot,C_Tot,O_Tot
0,1,4,4,5,4,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,4,5,4,5,5,5,5,5,4,5,4,5,4,5,3,5,5,5,4,2,5,5,44,49,46,47,43
1,2,2,4,3,3,3,3,1,1,1,1,4,3,2,2,3,2,3,4,4,2,5,3,3,4,2,4,4,3,4,3,4,5,3,4,3,5,5,5,4,4,3,3,3,3,2,3,3,1,3,2,22,29,35,42,26
2,2,5,5,1,2,5,5,1,1,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,35,14,38,49,45
3,2,2,1,2,2,3,2,3,2,4,1,1,4,2,2,2,1,1,1,2,1,4,5,2,4,3,5,3,4,4,3,3,3,4,1,1,2,5,2,2,3,4,3,5,4,4,4,5,2,5,5,22,17,37,26,41
4,2,3,5,3,3,3,5,3,5,3,1,3,3,3,4,3,3,3,3,3,2,1,5,3,5,5,5,5,5,5,5,3,5,5,3,3,5,1,3,3,3,3,5,1,5,3,5,3,1,5,3,34,30,44,34,34
5,2,1,1,2,2,1,3,2,2,1,1,5,5,2,5,5,2,2,5,1,4,4,2,3,4,3,4,3,5,5,3,2,1,4,3,3,2,5,3,5,3,4,4,1,3,3,1,5,4,5,3,16,36,36,31,33
6,2,5,5,5,5,5,5,5,2,4,5,4,4,4,4,4,4,3,4,4,4,1,5,5,5,5,5,5,5,4,5,2,2,3,3,3,3,3,3,3,3,3,5,5,5,4,5,4,3,3,4,46,39,45,28,41
7,1,4,3,5,3,5,5,4,3,4,3,5,4,2,4,5,5,5,5,5,5,4,5,5,4,3,3,5,3,4,5,4,4,5,5,4,5,4,5,3,5,3,5,5,5,4,5,5,3,2,5,39,45,41,44,42
8,2,3,5,5,5,5,5,5,4,5,3,4,4,1,3,3,1,1,2,3,3,5,5,5,5,5,5,5,5,5,4,4,3,5,4,5,4,5,4,4,3,3,3,5,3,5,5,5,3,4,5,45,25,49,41,41
9,2,1,2,2,1,2,2,1,2,1,1,1,2,1,2,3,2,3,4,3,2,4,3,5,4,4,4,3,3,3,2,5,4,4,4,3,4,4,4,4,4,4,4,5,4,4,5,4,3,4,4,15,23,35,40,41
10,2,1,1,2,1,1,2,1,2,1,1,1,3,1,3,4,1,3,3,2,3,4,4,4,4,5,5,5,4,3,3,3,2,3,2,1,1,3,3,3,3,5,3,5,3,4,5,3,5,4,5,13,24,41,24,42
11,1,3,3,5,3,3,3,2,2,3,3,5,5,3,3,4,3,4,3,4,2,2,4,4,2,1,5,4,5,4,4,3,3,4,3,3,1,3,3,3,4,3,5,4,5,4,1,4,3,4,5,30,36,35,30,38
12,2,3,3,4,4,4,4,2,3,4,3,3,3,3,3,4,4,2,2,4,3,5,4,5,5,5,5,4,4,5,4,4,4,4,4,3,2,4,5,5,4,3,4,4,4,3,4,3,3,5,4,34,31,46,39,37
13,2,1,3,2,1,1,5,1,1,1,1,1,3,1,2,1,1,3,4,1,3,5,1,5,4,4,3,1,4,4,2,5,4,5,5,3,4,5,4,4,4,3,5,3,3,4,5,4,3,5,4,17,20,33,43,39
14,2,3,3,3,2,3,4,2,2,3,1,4,4,2,4,2,2,4,4,3,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,2,4,4,26,33,40,40,36
15,1,2,3,2,3,3,5,1,3,4,2,4,4,4,4,5,4,4,4,4,4,2,2,2,2,1,2,1,2,1,2,4,4,4,5,3,4,4,5,4,5,4,5,5,5,5,5,4,4,5,5,28,41,17,42,47
16,2,1,3,2,2,2,2,1,2,3,2,2,2,3,2,5,3,5,4,4,3,2,2,3,1,2,1,1,3,1,1,4,3,5,4,2,2,3,5,3,5,5,5,4,5,4,5,5,5,5,4,20,33,17,36,47
17,2,4,5,5,4,5,5,5,3,5,5,1,2,1,2,3,3,3,3,2,4,5,5,4,5,4,5,5,5,5,3,3,2,3,3,1,5,3,3,4,3,3,5,3,3,3,3,5,4,3,3,46,24,46,30,35
