,sumA,sumO,sumE,sumN,sumC,age
0,8,6,0,-17,2,13
1,11,6,-1,-32,1,13
2,-1,0,1,-15,-2,13
3,13,10,-6,-12,11,13
4,16,-3,9,-22,-6,13
5,8,8,7,-18,-8,13
6,16,14,6,-7,8,13
7,12,10,6,-5,5,13
8,16,21,8,-15,7,13
9,9,6,-4,-17,1,13
10,12,24,-15,-24,6,13
11,6,8,-19,-3,8,13
12,16,5,-2,-9,10,13
13,17,17,1,-6,6,13
14,15,23,-12,-17,19,13
15,15,19,-8,-16,4,13
16,20,19,-11,-12,-2,13
17,22,20,-20,-5,8,13
18,22,22,10,-6,16,13
19,14,19,-2,-21,-7,13
20,6,7,11,-5,-1,13
21,18,18,4,-3,12,13
22,19,21,4,-3,16,13
23,16,11,-16,-26,-2,13
24,19,11,-9,-27,0,13
25,12,8,-5,-23,0,13
26,12,21,-5,-17,11,13
27,25,25,-6,-19,16,13
28,8,16,-11,-19,-2,13
29,2,18,-18,-15,18,13
30,17,23,2,-29,-5,13
31,11,6,5,-25,-2,13
32,15,8,-6,-24,-4,13
33,23,15,9,-18,4,13
34,8,9,-19,-25,-6,13
35,26,26,14,-2,20,13
36,14,9,1,-15,8,13
37,16,9,13,-4,-5,13
38,5,1,-19,-23,7,13
39,20,14,10,-18,14,13
40,8,12,-16,-28,-11,13
41,7,6,-18,-24,-8,13
42,11,-5,-11,-18,-12,13
43,26,26,-7,-30,-4,13
44,8,14,-3,-23,0,13
45,4,17,-15,-30,5,13
46,11,10,-17,-24,8,13
47,21,16,9,-13,11,13
48,15,18,-19,-29,4,13
49,24,15,2,-20,-4,13
50,18,22,-13,-8,15,13
51,3,15,-16,-24,9,13
52,1,18,-4,-18,-7,13
53,20,16,4,-18,-1,13
54,25,24,12,-8,11,13
55,20,14,-5,-8,11,13
56,12,15,3,-15,-2,13
57,-2,12,-18,-36,-3,13
58,22,22,-6,-12,2,13
59,3,9,-16,-26,-6,13
60,4,17,-12,-19,-5,13
61,17,12,-16,-16,-7,13
62,24,5,-10,-19,8,13
63,10,19,-16,-17,8,13
64,22,16,-5,-23,-1,13
65,-14,18,0,-33,1,13
66,12,10,-19,-33,6,13
67,21,9,-19,-29,8,13
68,15,20,-16,-20,2,13
69,5,12,4,-17,-8,13
70,19,19,1,-21,5,13
71,16,20,11,-27,-3,13
72,1,12,-19,-28,2,13
73,11,8,10,-13,1,13
74,15,19,-15,-15,0,13
75,24,13,9,-14,6,13
76,18,18,2,-21,11,13
77,-2,15,-9,-32,7,13
78,1,8,-19,-32,-6,13
79,13,0,-11,-19,-5,13
80,-2,15,-19,-24,-6,13
81,7,18,-5,-9,12,13
82,24,24,-1,-4,0,13
83,21,20,-3,-16,12,13
84,16,8,5,-18,2,13
85,14,15,-9,-26,-3,13
86,16,25,-12,-24,0,13
87,6,14,-5,-25,-4,13
88,14,19,-11,-16,-1,13
89,12,11,-1,-36,-5,13
90,12,16,-3,-17,0,13
91,9,18,3,-31,-3,13
92,-3,12,-16,-23,7,13
93,17,24,3,-1,11,13
94,11,14,8,-21,-3,13
95,22,10,-9,-15,5,13
96,20,6,-3,-16,-12,13
97,16,9,-1,-23,4,13
98,20,25,10,-29,-1,13
99,19,12,-11,-18,5,13
100,13,23,-4,-26,-2,13
101,16,14,0,-23,4,13
102,12,24,-1,-10,11,13
103,25,22,12,-12,13,13
104,21,20,10,-8,2,13
105,14,13,-8,-33,1,13
106,16,19,-2,-20,3,13
107,23,9,-2,-23,9,13
108,2,16,-18,-32,-1,13
109,12,6,-17,-24,2,13
110,16,18,-4,-23,0,13
111,16,19,5,-16,0,13
112,22,20,-13,-11,2,13
113,17,8,7,-15,6,13
114,11,10,-20,-30,7,13
115,19,12,-4,-17,1,13
116,4,8,-14,-21,-2,13
117,15,18,-9,-11,3,13
118,11,20,5,-17,-7,13
119,18,14,-8,-23,2,13
120,14,9,0,-23,0,13
121,4,3,-14,-18,11,13
122,0,12,-5,-8,5,13
123,18,17,-2,-19,5,13
124,21,19,-9,-12,7,13
125,18,13,10,-15,-7,13
126,25,22,4,-13,9,13
127,17,19,6,-21,6,13
128,20,10,0,-18,-4,13
129,11,10,-7,-13,7,13
130,11,12,-18,-29,3,13
131,16,11,-7,-25,5,13
132,14,7,-15,-23,-8,13
133,10,12,-16,-35,-14,13
134,0,19,-13,-29,-6,13
135,17,15,-18,-28,1,13
136,10,16,-6,-23,-2,13
137,12,12,-4,-27,3,13
138,9,2,-10,-28,-4,13
